項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
法人所得税費用（IFRS）,7887,Prior1YTDDuration,その他,期間,円
管理職に占める女性労働者の割合、連結子会社の指標,7834,CurrentYearInstant_Row1Member,その他,時点,
四半期会計期間、表紙,7793,FilingDateInstant,その他,時点,－
当期包括利益：親会社の所有者に帰属（IFRS）、経営指標等,7757,Prior1YTDDuration,その他,期間,円
退職給付費用、販売費及び一般管理費,7754,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
全労働者、労働者の男女の賃金の差異、連結子会社の指標,7734,CurrentYearInstant_Row1Member,その他,時点,
正規雇用労働者、労働者の男女の賃金の差異、連結子会社の指標,7723,CurrentYearInstant_Row1Member,その他,時点,
非正規雇用労働者、労働者の男女の賃金の差異、連結子会社の指標,7643,CurrentYearInstant_Row1Member,その他,時点,
長期借入金の返済による支出、財務活動によるキャッシュ・フロー,7619,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
支払手形及び買掛金,7543,Prior1YearInstant,連結,時点,円
親会社の所有者、当期包括利益（IFRS）,7277,Prior1YTDDuration,その他,期間,円
その他の収益（IFRS）,7192,Prior1YearDuration,その他,期間,円
基本的１株当たり当期利益（△損失）（IFRS）,7183,Prior1YTDDuration,その他,期間,
持分法適用会社に対する持分相当額、その他の包括利益,7156,Prior1YearDuration,連結,期間,円
その他の費用（IFRS）,7156,Prior1YearDuration,その他,期間,円
全労働者、男性労働者の育児休業取得率、連結子会社の指標,7140,CurrentYearInstant_Row1Member,その他,時点,
持分法で会計処理されている投資（IFRS）,7089,Prior1YearInstant,その他,時点,円
売上原価（IFRS）,7051,Prior1YTDDuration,その他,期間,円
無形固定資産の取得による支出、投資活動によるキャッシュ・フロー,6938,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
繰越利益剰余金,6816,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
自己株式の取得による支出、財務活動によるキャッシュ・フロー,6752,Prior1YTDDuration,連結,期間,円
前払費用,6751,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
リース債務、固定負債,6708,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
非支配持分、当期利益（△損失）（IFRS）,6677,Prior1YTDDuration,その他,期間,円
非支配持分、当期包括利益（IFRS）,6677,Prior1YTDDuration,その他,期間,円
在外営業活動体の外貨換算差額（税引後）、純損益に振り替えられる可能性のあるその他の包括利益（IFRS）,6653,Prior1YTDDuration,その他,期間,円
有形固定資産（IFRS）,6646,Prior1YearInstant,その他,時点,円
資本準備金,6640,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
希薄化後１株当たり当期利益（△損失）（IFRS）,6603,Prior1YTDDuration,その他,期間,
関係会社株式,6552,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
預り金,6516,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
監査証明業務に基づく報酬－提出会社、監査公認会計士等,6504,Prior1YearDuration,その他,期間,円
非監査業務に基づく報酬－提出会社、監査公認会計士等,6496,Prior1YearDuration,その他,期間,円
主要な販売費及び一般管理費 [テキストブロック],6446,CurrentYTDDuration_NonConsolidatedMember,その他,期間,－
建物（純額）,6422,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
連結財務諸表が基づく規則、経理の状況,6378,CurrentYTDDuration,その他,期間,－
貸倒引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,6357,Prior1YTDDuration,連結,期間,円
繰延ヘッジ損益（税引後）、その他の包括利益,6330,Prior1YTDDuration,連結,期間,円
投資有価証券評価損、特別損失,6324,Prior1YTDDuration,連結,期間,円
その他、特別損失,6311,Prior1YTDDuration,連結,期間,円
持分法による投資利益、営業外収益,6289,Prior1YearDuration,連結,期間,円
資本的支出（IFRS）,6271,Prior1YTDDuration_jpcrp040300-q2r_E00457-000NissinFoodProductsReportableSegmentMember,その他,期間,円
リース債務、流動負債,6071,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
会計方針の変更による累積的影響額,5983,Prior2YearInstant_RetainedEarningsMember,連結,時点,円
営業収益、経営指標等,5962,Prior4YearDuration_NonConsolidatedMember,その他,期間,円
その他の包括利益を通じて公正価値で測定するものとして指定した資本性金融商品の公正価値の純変動額（税引後）、純損益に振り替えられることのないその他の包括利益（IFRS）,5935,Prior1YTDDuration,その他,期間,円
リース資産（純額）、有形固定資産,5921,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
給料及び手当、販売費及び一般管理費,5916,Prior1YTDDuration,連結,期間,円
株式数、保有目的が純投資目的以外の目的であるみなし保有株式の明細、提出会社,5909,CurrentYearInstant_Row1Member,その他,時点,
貸借対照表計上額、保有目的が純投資目的以外の目的であるみなし保有株式の明細、提出会社,5909,CurrentYearInstant_Row1Member,その他,時点,円
長期借入れによる収入、財務活動によるキャッシュ・フロー,5898,Prior1YearDuration,連結,期間,円
棚卸資産、流動資産（IFRS）,5894,Prior1YearInstant_NonConsolidatedMember,その他,時点,円
監査証明業務に基づく報酬－計、監査公認会計士等,5764,Prior1YearDuration,その他,期間,円
監査証明業務に基づく報酬－連結子会社、監査公認会計士等,5759,Prior1YearDuration,その他,期間,円
非監査業務に基づく報酬－計、監査公認会計士等,5752,Prior1YearDuration,その他,期間,円
非監査業務に基づく報酬－連結子会社、監査公認会計士等,5745,Prior1YearDuration,その他,期間,円
投資有価証券の取得による支出、投資活動によるキャッシュ・フロー,5723,Prior1YTDDuration,連結,期間,円
受取手形及び売掛金,5716,Prior1YearInstant,連結,時点,円
純損益に振り替えられる可能性のある項目合計（IFRS）,5703,Prior1YTDDuration,その他,期間,円
１年内償還予定の社債,5679,Prior1YearInstant,連結,時点,円
のれん（相殺前）,5674,Prior1YearInstant_jpcrp030000-asr_E02349-000MedicalReportableSegmentsMember,その他,時点,円
固定資産圧縮積立金の取崩,5657,Prior1YearDuration_NonConsolidatedMember_ReserveForAdvancedDepreciationOfNoncurrentAssetsMember,個別,期間,円
研究開発費、研究開発活動,5636,CurrentYearDuration,その他,期間,円
新株の発行（新株予約権の行使）,5576,CurrentYearDuration_NonConsolidatedMember_CapitalStockMember,個別,期間,円
新株の発行、持分変動計算書（IFRS）,5567,Prior1YTDDuration_ShareCapitalIFRSMember,その他,期間,円
純損益に振り替えられることのない項目合計（IFRS）,5563,Prior1YTDDuration,その他,期間,円
貸倒引当金繰入額、販売費及び一般管理費,5544,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
業績連動報酬、役員区分ごとの報酬等,5524,CurrentYearDuration_jpcrp030000-asr_E35821-000DirectorsExcludingAuditCommitteeMembersMember,その他,期間,円
役員賞与引当金,5470,Prior1YearInstant,連結,時点,円
機械装置及び運搬具（純額）,5439,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他、財務活動によるキャッシュ・フロー,5415,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
研究開発費、販売費及び一般管理費,5395,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
収益（IFRS）,5378,Prior1YTDDuration,その他,期間,円
負債（IFRS）,5316,Prior1YearInstant,その他,時点,円
連結範囲の変動、持分変動計算書（IFRS）,5312,Prior1YearDuration_EquityAttributableToOwnersOfParentIFRSMember,その他,期間,円
現金及び現金同等物の期末残高と貸借対照表に掲記されている科目の金額との関係 [テキストブロック],5299,CurrentYTDDuration_NonConsolidatedMember,その他,期間,－
固定報酬、役員区分ごとの報酬等,5230,CurrentYearDuration_jpcrp030000-asr_E35821-000DirectorsExcludingAuditCommitteeMembersMember,その他,期間,円
契約負債,5217,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
負債及び資本（IFRS）,5207,Prior1YearInstant,その他,時点,円
短期借入金の純増減額（△は減少）、財務活動によるキャッシュ・フロー,5205,Prior1YearDuration,連結,期間,円
資本金（IFRS）,5171,Prior1YearInstant,その他,時点,円
利益剰余金（IFRS）,5171,Prior1YearInstant,その他,時点,円
親会社の所有者に帰属する持分（IFRS）,5137,Prior1YearInstant,その他,時点,円
長期貸付金,5127,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
発行済株式及び自己株式に関する注記 [テキストブロック],5106,Prior1YearDuration_NonConsolidatedMember,その他,期間,－
四半期連結貸借対照表 [テキストブロック],5098,CurrentYTDDuration,その他,期間,－
１株当たり情報、四半期連結財務諸表 [テキストブロック],5098,CurrentYTDDuration,その他,期間,－
セグメント情報等、四半期連結財務諸表 [テキストブロック],5096,CurrentYTDDuration,その他,期間,－
財務活動によるキャッシュ・フロー（IFRS）,5089,Prior1YTDDuration,その他,期間,円
自己株式（IFRS）,5089,Prior1YearInstant,その他,時点,円
投資活動によるキャッシュ・フロー（IFRS）,5089,Prior1YTDDuration,その他,期間,円
営業活動によるキャッシュ・フロー（IFRS）,5089,Prior1YTDDuration,その他,期間,円
資本剰余金（IFRS）,5080,Prior1YearInstant,その他,時点,円
賞与引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,5053,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
その他の流動資産（IFRS）,5048,Prior1YearInstant,その他,時点,円
流動負債（IFRS）,5048,Prior1YearInstant,その他,時点,円
非流動資産（IFRS）,5048,Prior1YearInstant,その他,時点,円
流動資産（IFRS）,5048,Prior1YearInstant,その他,時点,円
非流動負債（IFRS）,5048,Prior1YearInstant,その他,時点,円
減損損失、営業活動によるキャッシュ・フロー,5026,Prior1YTDDuration,連結,期間,円
繰延税金資産（IFRS）,5017,Prior1YearInstant,その他,時点,円
その他の流動負債（IFRS）,5012,Prior1YearInstant,その他,時点,円
退職給付に係る負債の増減額（△は減少）、営業活動によるキャッシュ・フロー,5007,Prior1YTDDuration,連結,期間,円
無形資産（IFRS）,4998,Prior1YearInstant,その他,時点,円
その他の非流動資産（IFRS）,4984,Prior1YearInstant,その他,時点,円
四半期連結累計期間、四半期連結損益計算書 [テキストブロック],4976,CurrentYTDDuration,その他,期間,－
四半期連結累計期間、四半期連結包括利益計算書 [テキストブロック],4973,CurrentYTDDuration,その他,期間,－
売上高、地域ごとの情報 [テキストブロック],4952,Prior1YearDuration_NonConsolidatedMember,その他,期間,－
未払法人所得税、流動負債（IFRS）,4944,Prior1YearInstant,その他,時点,円
株主資本の金額に著しい変動があった場合の注記 [テキストブロック],4940,Prior1YTDDuration,その他,期間,－
のれん（IFRS）,4880,Prior1YearInstant,その他,時点,円
基本報酬、役員区分ごとの報酬等,4878,CurrentYearDuration_DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,その他,期間,円
現金及び現金同等物の為替変動による影響（IFRS）,4875,Prior1YTDDuration,その他,期間,円
所有株式数（普通株式）、役員の状況（取締役（及び監査役））（議案）,4870,FilingDateInstant_jpcrp030000-asr_E00444-000SatoshiYamaguchiMember,その他,時点,
有価証券,4860,Prior1YearInstant,連結,時点,円
持分法による投資損益（△は益）、営業活動によるキャッシュ・フロー,4857,Prior1YearDuration,連結,期間,円
繰延税金負債（IFRS）,4855,Prior1YearInstant,その他,時点,円
役職名、役員の状況（取締役（及び監査役））（議案）,4844,FilingDateInstant_jpcrp030000-asr_E00444-000SatoshiYamaguchiMember,その他,時点,－
有形固定資産、地域ごとの情報 [テキストブロック],4841,Prior1YearDuration_NonConsolidatedMember,その他,期間,－
