code,name,is_nikkei_225,is_topix_core30,is_topix_100,is_jpx_nikkei_400,is_growth_core,is_growth_250
7317,松屋アールアンドディ,0,0,0,0,0,1
7318,セレンディップ・ホールディングス,0,0,0,0,0,1
7320,日本リビング保証,0,0,0,0,0,1
7326,ＳＢＩインシュアランスグループ,0,0,0,0,0,1
7342,ウェルスナビ,0,0,0,0,1,1
7343,ブロードマインド,0,0,0,0,0,1
7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,0,0,0,0,0,1
7373,アイドマ・ホールディングス,0,0,0,0,0,1
7386,ジャパンワランティサポート,0,0,0,0,0,1
7409,ＡｅｒｏＥｄｇｅ,0,0,0,0,0,1
7419,ノジマ,0,0,0,1,0,0
7453,良品計画,1,0,0,1,0,0
7459,メディパルホールディングス,0,0,0,1,0,0
7532,パン・パシフィック・インターナショナルホールディングス,0,0,0,1,0,0
7550,ゼンショーホールディングス,0,0,0,1,0,0
7564,ワークマン,0,0,0,1,0,0
7599,ＩＤＯＭ,0,0,0,1,0,0
7649,スギホールディングス,0,0,0,1,0,0
7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,0,0,0,0,0,1
7683,ダブルエー,0,0,0,0,0,1
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,0,0,0,0,1,1
7701,島津製作所,0,0,0,1,0,0
7707,プレシジョン・システム・サイエンス,0,0,0,0,0,1
7716,ナカニシ,0,0,0,1,0,0
7729,東京精密,0,0,0,1,0,0
7731,ニコン,1,0,0,0,0,0
7733,オリンパス,1,0,1,1,0,0
7735,スクリン,1,0,0,1,0,0
7740,タムロン,0,0,0,1,0,0
7741,ＨＯＹＡ,1,1,1,1,0,0
7744,ノーリツ鋼機,0,0,0,1,0,0
7747,朝日インテック,0,0,0,1,0,0
7751,キヤノン,1,0,1,1,0,0
7752,リコー,1,0,0,0,0,0
7762,シチズン,1,0,0,1,0,0
7774,ジャパン・ティッシュエンジニアリング,0,0,0,0,0,1
7776,セルシード,0,0,0,0,0,1
7777,スリー・ディー・マトリックス,0,0,0,0,0,1
7779,ＣＹＢＥＲＤＹＮＥ,0,0,0,0,0,1
7792,コラントッテ,0,0,0,0,0,1
